horse,horseLabel,mother,motherLabel,father,fatherLabel
http://www.wikidata.org/entity/Q102237752,Son of John,,,,
http://www.wikidata.org/entity/Q102237756,Single Foot,,,,
http://www.wikidata.org/entity/Q102237849,Step Along,,,,
http://www.wikidata.org/entity/Q102237852,Swope,,,,
http://www.wikidata.org/entity/Q102237857,Prince of Bourbon,,,,
http://www.wikidata.org/entity/Q102237858,Needle Gun,,,,
http://www.wikidata.org/entity/Q102237866,Kentucky Cardinal,,,,
http://www.wikidata.org/entity/Q102237868,Boon Companion,,,,
http://www.wikidata.org/entity/Q102237871,Broadway Jones,,,,
http://www.wikidata.org/entity/Q102237878,Quatrain,,,,
